Table S1. WOS abstracts associated with baijiu,,,,,,,,,,,,,,,,,
RowID,Authors,Article Title,Source Title,Source Title - Korean,Volume,Issue,Start Page,End Page,Article Number,DOI,Publication Year,Abstract,ISSN,eISSN,UT (Unique ID),Pubmed Id,
11,"Qin, Hui; Huo, Danqun; Zhang, Liang; Yang, Limin; Zhang, Suyi; Yang, Mei; Shen, Caihong; Hou, Changjun",Colorimetric artificial nose for identification of Chinese liquor with different geographic origins,FOOD RESEARCH INTERNATIONAL,,45,1,45,51,,10.1016/j.foodres.2011.09.008,2012,"Colorimetric artificial nose was used to characterize and identify Chinese liquors from six different geographic origins. Using chemical dyes as the sensing elements, the developed colorimetric artificial nose showed a unique pattern of color changes upon its exposure to Chinese liquors. Data analysis was performed by chemometric techniques: Hierarchical cluster analysis (HCA), principal component analysis (PCA) and linear discriminant analysis (LDA). Each category of Chinese liquor could cluster together in PCA score plot. No errors in classification by HCA were observed in 45 trials. LDA model showed a 100% of prediction ability for Chinese liquor. The results demonstrated that colorimetric artificial nose was able to classify Chinese liquors from different geographic origins. (C) 2011 Elsevier Ltd. All rights reserved.",0963-9969,1873-7145,WOS:000300745700007,,
12,"Fan, Wenlai; Shen, Haiyue; Xu, Yan",Quantification of volatile compounds in Chinese soy sauce aroma type liquor by stir bar sorptive extraction and gas chromatography-mass spectrometry,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,,91,7,1187,1198,,10.1002/jsfa.4294,2011,"BACKGROUND: Considering the important of aroma compounds on the quality of baijiu, stir bar sorptive extraction (SBSE) coupled with gas chromatography-mass spectrometry was applied to the aromas analysis of baijiu (Chinese liquor).RESULTS: Based on the results of optimization, a total of 76 volatile compounds were identified from 14 Chinese liquors, including 25 esters, 10 alcohols, 9 aldehydes and ketones, 8 aromatic compounds, 5 furans, 3 nitrogen-containing compounds, 6 acids, 4 phenols, 3 terpenes, 1 sulfide-containing compound, 1 lactone, and 1 acetal. By principal component analysis based on quantification results, 14 Chinese liquor samples could be classified into three groups.CONCLUSION: SBSE is a fast, simple, effective, and reliable method for extracting volatile compounds from Chinese liquor. The chemometrics approach revealed that LJ liquor with soy sauce aroma could exhibit more prominent sauce flavor through extending the time of storage, and its peculiar manufacturing practice was responsible for the soy sauce flavor. (C) 2011 Society of Chemical Industry",0022-5142,1097-0010,WOS:000289527800005,21384368,
13,Wen Yongzhu; Fan Wenlai; Xu Yan; Nie Yao,Quantification for 5 selected biogenic amines in Chinese liquor by HPLC,Science & Technology of Food Industry,,34,7,305,308,1002-0306(2013)34:7<305:BJZ5ZS>2.0.TX;2-9,,2013,"The reverse - phase high performance liquid chromatogramphy (HPLC) coupled with ultraviolet (UV) detection was developed for the quantification of a variety of biogenic amines(BAs) in Chinese liquor.Quantification method generally includes: liquid - liquid extraction(LLE),precolumn derivatization with Dansyl chloride,nitrogen concentration,RP-HPLC detection.Using Agilent C_(18) chromatographic column(4.6mm * 250mm,5mum),the mobile phase for gradient elution consisted of acetonitrile and water,for gradient elution,the flow rate was 0.4mL/min,the column temperature was 20¡æ and the detection wavelength was 254nm.The method showed good linearity(R~2 > 0.99) over the concentration ranges.The detection limit,relative standard deviation(RSD),recovery were 0.001 ~ 0.032mg /L,less than 6%,80.19%~104.05%.The results showed that biogenic amines in brewed wine and Chinese liquor were different; the highest concentration of BAs in Chinese liquor was pyrrolidine.Preliminary test three kinds of basic type of Chinese liquor,Chinese soy sauce aroma type liquor had lower biogenic amines than Chinese strong aromatic spirits and fen-flavor liquors.",1002-0306,,CSCD:4817143,,
14,Zhao Dongrui; Zhang Limo; Zhang Fengguo; Sun Jinyuan; Sun Xiaotao; Huang Mingquan; Zheng Fuping; Sun Baoguo,Analysis of Sulfur-Containing Compounds in Sesame-flavor Chinese Liquor by Solid Phase Microextraction and Liquid-Liquid Extraction Coupled with GC-MS,Food Science,,37,22,99,106,1002-6630(2016)37:22<99:GXWCQY>2.0.TX;2-G,,2016,"The sulfur-containing compounds of sesame-flavor Chinese liquor were analyzed by solid phase microextraction (SPME) and liquid-liquid extraction (LLE) coupled with gas chromatography-mass spectrometry (GC-MS). Using a simulated liquor sample, the optimum experimental conditions were determined. A total of 178 volatiles were identified by SPME combined with GC-MS and 239 volatiles by LLE combined with GC-MS. Among them, 14 sulfur-containing compounds were identified by comparing mass spectra and linear retention indices (RI) of those of standards in 36 sesame-flavor Chinese liquor samples. S-Methyl ester butanethioic acid, 2-[(methylthio)methyl]-furan, S-methyl ester 2-furancarbothioic acid, 4-methyl-dibenzothiophene, 3-methylthiobutyraldehyde, and S-methyl methanethiosulphonate were detected in Chinese liquor for the first time; In addition, benzothiazole and benzo [b] thiophene were detected in sesameflavor Chinese Baijiu for the first time.",1002-6630,,CSCD:5866281,,
15,"Wang, Diqiang; Chen, Liangqiang; Yang, Fan; Wang, Heyu; Wang, Li",Yeasts and their importance to the flavour of traditional Chinese liquor: a review,JOURNAL OF THE INSTITUTE OF BREWING,,125,2,214,221,,10.1002/jib.552,2019,"As one of the three major distilled spirits in the world, traditional Chinese liquor has a distinctive aroma and taste. The brewing process typically involves two stages: the Daqu-making process and the liquor-making process. Further, it commonly adopts solid state fermentation in an open environment, which involves diverse microorganisms such as bacteria and fungi. Yeasts, as an integral brewing microorganism, are not only a dominant force in the fermentation process but also play a key role in the quality and character of different flavour liquors. Studies on yeasts associated with Chinese liquor have rarely compared them with those associated with other alcoholic beverages (wine, sake, etc.), especially in the microbiome-related flavour of the alcoholic beverage. Here, we review the Chinese liquor brewing process, the yeast community in the brewing process, the yeast derived flavour compounds, the interaction between yeasts and other microorganisms and gene level modifications. (C) 2019 The Institute of Brewing & Distilling",0046-9750,2050-0416,WOS:000467527000003,,
16,Lu Jianghao; Liu Ming; Xu Zijing; Zhang Yi; Liu Chuanhe; Xu Zhancheng; Xiong Zhenghe; Zhong Qiding; Yuan Xiaomei,A Research on Real-Time Monitoring Method for Volatiles in Chinese Liquor (Baijiu) Tasting,Journal of Chinese Institute Of Food Science and Technology,,18,8,224,231,1009-7848(2018)18:8<224:BJPCZH>2.0.TX;2-Q,,2018,"The sensory characteristics and synergistic effects in the Chinese liquor (Baijiu) tasting are discussed in this paper.The writers proposed a real -time online method based on technology of Direct Analysis in Real Time (DART) ionization source tandem quadrupol mass spectrometry to monitor volatile flavor compounds in the mouth release process.The optimal parameters are as follows:DART optimal temperature 200 ¡æ (helium is carrier gas),air pump pressure -5.5*10~4 Pa,and DART grid voltage 350 V,with the MS scan range is m/z 30-500.The qualitative characteristics peaks of 17 kinds of typical flavor compounds in the Chinese liquor (Baijiu) are confirmed:ethyl acetate(m/z=89.30),ethyl hexanoate (m/z=162.20),ethyl butyrate (m/z=117.10),ethyl lactate (m/z=136.20),hexanoic acid (m/z=132.20),acetic acid (m/z=78.20),acetal (m/z=136.20),furfural (m/z=114.10),butanol (m/z=92.20),isoamyl alcohol (m/z=106.20),2,6-dimethytpyrazine (m/z=109.10),trimethylpyrazine (m/z=123.20),tetramethylpyrazine (m/z=137.20),2-pentanone (m/z=104.10),3-hydroxyl-2-butanone (m/z=158.20),ethyl phenylacetate (m/z=182.20),Benzaldehyde (m/ z=124.20).For three different types Chinese liquor (Mild-flavour style,Strong-flavour style and Jiang-flavour style),the detection results were quite different in the variety and concentration changes of volatile flavor compounds.The sensory of Mild-flavour Chinese liquor (Baijiu) is light and pure,shorter aftertaste;there are four kinds of flavor compounds whose intensities are higher than 1.00*10~4;the duration lasts about 6-14 s.The sensory of strong-flavour Chinese liquor (Baijiu) is rich flavor,longer aftertaste;there are five kinds of flavor compounds whose intensities are higher than 1.00*10~4;the duration lasts about 8-14 s.The sensory of jiang-flavour Chinese liquor (Baijiu) is better fullness,long-drawnout aftertaste;there are eight kinds of flavor compounds whose intensities are higher than 1.00*10~4;the duration lasts about 4-30 s.This result is consistent with their respective sensory characteristics.The study not only initially realizes time-intensity dynamically monitoring of volatile flavor compounds in the mouth release process,but affords the exercisable technical sustainment for releasing rules of volatile flavor compounds and aftertaste formation mechanism.",1009-7848,,CSCD:6320389,,
17,"Zhu, Shukui; Lu, Xin; Ji, Kehang; Guo, Kunfiang; Li, Yanli; Wu, Caiying; Xu, Guowang",Characterization of flavor compounds in Chinese liquor Moutai by comprehensive two-dimensional gas chromatography/time-of-flight mass spectrometry,ANALYTICA CHIMICA ACTA,,597,2,340,348,,10.1016/j.aca.2007.07.007,2007,"In this paper, a method to characterize the volatile compounds in Chinese liquors by comprehensive two-dimensional gas chromatography/time-of-flight mass spectrometry has been developed. The selection of column combination and the optimization of temperature program are discussed. With the optimized conditions, ordered chromatograms are achieved in the two-dimensional plane, which is useful for the identification of unknown compounds. According to the automated data processing by TOFMS software, combining with the ordered chromatogram and the retention index database developed by our group, a total of 528 components are identified in a Moutai liquor sample, including organic acids, alcohols, esters, ketones, aldehydes, acetals, lactones, nitrogen-containing and sulfur-containing compounds, etc. In addition, the contribution of some important aroma compounds to flavor of Moutai liquor has also been studied. (C) 2007 Elsevier B.V. All fights reserved.",0003-2670,1873-4324,WOS:000249081100021,17683748,
18,Mi Jiao; Zhang Longyun; Wu Linwei; Li Yanrong; Yang Tao; Li Guoyou,The chemical constituents of Yanghe Daqu,Chinese Journal of Applied and Environmental Biology,,22,5,845,847,1006-687X(2016)22:5<845:YHDQDH>2.0.TX;2-F,,2016,"The quality of Daqu is pivotal to the quality and productivity of Chinese liquor. Most research focused on its physicochemical factors and microorganism, with less research on the higher boiling point chemical constituents of Daqu. This research aimed to study the chemical constituents of Yanghe Daqu. We isolated 9 compounds from the ethanol extract by the combination of multiple chromatography methods. On the basis of spectroscopic analysis, they were identifi ed as propanetriol (1), erythritol (2), ribitol (3), mannitol (4), 9,12-octadecadienoic acid (5), monolinoleoyl glycerol (6), glyeerol oleate (7), beta-daucosterol (8) and L-pyroglutamic acid (9).",1006-687X,,CSCD:5835968,,
19,"Wang, Chuan; Wang, Mou; Zhang, Meng-ping","Ethyl carbamate in Chinese liquor (Baijiu): presence, analysis, formation, and control",APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,,105,11,4383,4395,,10.1007/s00253-021-11348-1,2021,"Ethyl carbamate (EC) is a genotoxic and carcinogenic compound that is also a by-product of fermented foods (bread, sour milk, soy cheese, etc.) and alcoholic beverages (wine, sake, distilled liquor, etc.). Studies have showed that ethyl carbamate is ingested by humans primarily through the consumption of alcoholic beverages. Many countries have thus established EC limits for alcoholic beverages. Chinese liquor (Baijiu) is a traditional and unique distilled liquor, which has a huge consumption in China due to its excellent color, flavor, and taste. Therefore, the control of EC in Chinese liquor is of great significance. This review summarized for the first time the progress in presence level, analysis method, formation mechanism, and elimination strategy of EC of Chinese liquor in recent decades.",0175-7598,1432-0614,WOS:000652955700004,34021810,
20,"Ma, Y.; Huo, D. -Q.; Qin, H.; Shen, C. -H.; Yang, P.; Hou, C. -J.",Classification of Aroma Styles and Geographic Origins of Chinese Liquors Using Chemometrics Based on Fluorescence Spectroscopy,JOURNAL OF APPLIED SPECTROSCOPY,,84,2,361,368,,10.1007/s10812-017-0477-4,2017,"The purpose of this paper is to study the feasibility of fluorescence spectroscopy as a reliable method for discrimination of Chinese liquor according to different aroma styles and geographic origins. The 84 Chinese liquors were analyzed by fluorescence spectroscopy and chemometrics. The results showed that Chinese liquors exhibit characteristic fluorescence spectra recorded at special excitation wavelengths that may be considered as fingerprints. Both principal component analysis (PCA) and stepwise linear discriminant analysis (SLDA) were carried out on the emission spectra (330-435 nm) recorded at excitation wavelength 300 nm to classify different aroma styles of Chinese liquors. The first two principal components explained 98.87% of the total variance, and the SLDA classified correctly 100%. Both hierarchical cluster analysis (HCA) and principal component analysis (PCA) were carried out on the emission spectra (325-420 nm) recorded at excitation wavelength 300 nm to identify different geographic origins of Chinese liquors. HCA accurately identified all the samples and the first three PCA explained 98.25% of the total variance. This study indicates that fluorescence spectroscopy coupled with chemometrics offers a promising approach for identifying Chinese liquors according to different flavor types and geographic origins.",0021-9037,1573-8647,WOS:000405099700026,,
21,Fan Wenlai; Hu Guangyuan; Xu Yan; Jia Qiaoyan; Ran Xiaohong,Analysis of Aroma Components in Chinese Herbaceous Aroma Type Liquor,Journal of Food Science and Biotechnology,,31,8,810,819,1673-1689(2012)31:8<810:YXXDJD>2.0.TX;2-Z,,2012,"Aroma compounds in Chinese herbaceous aroma type liquor,Dongjiu,were investigated with normal phase chromatography followed by gas chromatography-olfactometry(GC-O).The dongjiu liquol sample was fractionated into water-acidic and neutral-basic fractions.The neutral-basic fraction was further separated into seven fractionations,using silica gel normal phase chromatography(pentane-diethyl ether of 100¡Ã0,95¡Ã5,90¡Ã10,80¡Ã20,70¡Ã30,50¡Ã50,and 100% methanol).The results showed that dongjiu liquor aroma was mainly contributed by fatty acids,esters,terpenoids,alcohols,aromatic compounds,phenols,sulphur compounds,ketones and aldehydes.According to the osme value,butanoic acid,ethyl hexanoate,hexanoic acid,dimethyl trisulfide,ethyl butanoate,2-phenylethyl alcohol,3-methylbutanoic acid,4-methylphenol,4-methylguaiacol,beta-damascenone,ethyl pentanoate,(E,Z)-2,6-nonadienal,(-)-borneol and fenchol had the high osme values.Those were the most important aroma compounds in dongjiu liquor of Chinese herbaceous aroma type liquor.",1673-1689,,CSCD:4654035,,
22,Shi Yalin; Fan Wenlai; Xu Yan,Preliminary study on antioxidant activity of Chinese liquor,Science & Technology of Food Industry,,36,2,95,"97,101",1002-0306(2015)36:2<95:BJKYHX>2.0.TX;2-#,,2015,"In this study,2,2-diphenyl-1 -picrylhydrazyl(DPPH),total antioxidant activity,reducing capacity,and chelating capacitywere used to evaluate the antioxidant activity of Chinese liquor. According to each method under study,Chinese liquors had lower antioxidant activity than synthetic antioxidants. The scavenging activity of Chinese liquor was 7.80% 2.31%. The inhibiting percentage was 20.50% 8.08%. The chelating activity was 1.60%0.84%. The reducing capacity was 0.180.06 expressed by absorbance.",1002-0306,,CSCD:5338478,,
23,"Niu, Yunwei; Chen, Xiaomei; Xiao, Zuobing; Ma, Ning; Zhu, Jiancai","Characterization of aroma-active compounds in three Chinese Moutai liquors by gas chromatography-olfactometry, gas chromatography-mass spectrometry and sensory evaluation",NATURAL PRODUCT RESEARCH,,31,8,938,944,,10.1080/14786419.2016.1255892,2017,"The aroma-active compounds in three Chinese Moutai liquors, aged 1year, 15years and 30years were investigated in this study. The aroma compounds were analysed by gas chromatography-olfactometry (GC-O) coupled with gas chromatography-mass spectrometry (GC-MS). A total of 79 aroma compounds were identified. Aroma extract dilution analysis (AEDA) was further employed to identify the aroma-active compounds. A total of 35 aroma-active compounds with flavour dilution (FD) values 64 simultaneously in three Chinese Moutai liquors were quantitated. Among them, ethyl acetate, ethyl lactate and acetic acid appeared with the highest concentrations. They were all >1000mg/L. Then, the relationships between the aroma-active compounds and seven sensory attributes were studied.",1478-6419,1478-6427,WOS:000392621600012,27834102,
24,Zhang Miaomiao; Cao Guozhen; Miao Jianshun; Li Wenjian; Lu Dong,Research progress in artificial aging of brandy and Chinese liquor with physical methods,Science & Technology of Food Industry,,35,22,392,396,1002-0306(2014)35:22<392:WLFFZB>2.0.TX;2-D,,2014,"Physical methods are widely used for artificial aging of brandy and Chinese liquor due to the celerity and no additional additives. Physical methods could improve the taste and quality of brandy and Chinese liquor, shorten aging period,and improve enterprise benefit. We focused on research progress about mechanisms as well as the advantages and disadvantages of physical methods, such as electric field, high-gravity field, ultrasound and electron beam which were applied for artificial aging of brandy and Chinese liquor. We summarized the mechanisms of these physical methods as well as development and future prospect of new methods.",1002-0306,,CSCD:5280333,,
25,Jin Jiaojiao; Tang Xuxiang; Cai Yanping; Han Yuanyuan; Wang Minmin; Zheng Haixia; Hui Guohua,Optimization of eigenvalue selection in Chinese liquors discrimination based on electronic nose,JOURNAL OF FOOD MEASUREMENT AND CHARACTERIZATION,,8,4,270,276,,10.1007/s11694-014-9185-4,2014,An eigenvalue selection optimization method for Chinese liquors discrimination using electronic nose (e-nose) was proposed in this paper. Experiments on 13 Chinese liquors were conducted and e-nose responses were recorded. Eigenvalues of e-nose responses were selected and used in principal component analysis (PCA). The Chinese liquors were partially discriminated. The e-nose responses were analyzed by stochastic resonance method and systematic output signal-to-noise ratio eigenvalues were selected for PCA analysis. Experimental results demonstrated that the eigenvalue optimization improved the Chinese liquors discrimination results. This discussed method provided a promising way for food quality and safety examinations based on artificial olfactory system.,1932-7587,2193-4134,WOS:000363676300002,,
26,Zou Xiaobo; Zhao Jiewen; Yin Xiaoping; Shi Jiyong,Chinese Liquors Identification by Olfaction Visualization Technology,Transactions of the Chinese Society of Agricultural Machinery,,40,1,110,113,1000-1298(2009)40:1<110:XJKSHJ>2.0.TX;2-L,,2009,"Four kinds of Chinese liquors were detected by the colorimetric sensor array,which was composed of thirty chemoresponsive sensors.Principal component analysis(PCA),cluster analysis(CA) and back-propagation artificial neural network(BP-ANN) were used in the data analysis and pattern recognition.With principal component analysis,not only Chinese liquors could be identified according to alcoholicity,but also bouquet.Cluster analysis further proved the result of PCA,but some samples could not be classified by using this method.Finally,BP neural network was employed to identify the Chinese liquors,and the accuracy of recognition was 100%.This research shows the potential applications of the olfaction visualization technology for analyzing and identifying Chinese liquors.",1000-1298,,CSCD:3490945,,
27,ZHANG Yanhong; FAN Wenlai; XU Yan; WANG Linxiang,Determination of pyrazines in chinese liquors by headspace solid phase microextraction coupled with GC-FTD,Chinese Journal of Analysis Laboratory,,27,6,39,41,1000-0720(2008)27:6<39:DKGXWC>2.0.TX;2-J,,2008,"A rapid method for determining pyrazines in chinese liquors was developed,It involves headspace solid phase microextraction(HS-SPME) and determination by GC coupled with flame thermionic detector(FTD).Temperature,time and ionic strength of extraction of SPME were optimized in this study.The developed method enable detection limits of pyrazines less than 0.20 mug/L.Linearity(R~2>0.99) and precision(RSD<13.6%) were satisfactory in all cases.This method is simple,quick,and selective.The concentration of pyrazines in moutai and Lang liquors were analyzed.",1000-0720,,CSCD:3306329,,
